id,smiles
A0373,OCC(CO)(CO)NCC(CS(=O)(=O)[O-])O
A0374,CC(CP([O-])(=O)CC(CC(C)C)(C)C)(CC(C)C)C
A0375,F[H][F-]
A0376,Br[I-]Br
A0377,Cl[I-]Cl
A0378,Br[Br-]Br
A0379,IC1=C(C=CC=C1)S(=O)(=O)[O-]
A0380,ClC1=CC(=C(OCCCC(=O)[O-])C=C1)C
A0383,[N+](=O)([O-])C=1[N-]C=CN1
A0391,CC1=C[N-]C=N1
A0392,CC1=NC=C[N-]1
A0393,CCC1=NC=C[N-]1
A0394,CCCC1=NC=C[N-]1
A0395,CC(C)C1=NC=C[N-]1
A0396,CCC1=NC(C)=C[N-]1
A0397,[N-]1C=CN=C1C1=CC=CC=C1
A0399,O=C(C(C(C(F)(F)F)(F)F)(F)F)[C-]C(=O)C(C)(C)C
A0400,O=C(C(F)(F)F)[C-]C(=O)c1cccs1
A0401,O=C(C(F)(F)F)[C-]C(=O)C
A0402,O=C(C(F)(F)F)[C-]C(=O)C(F)(F)F
A0403,O=C(C(F)(F)F)[C-]C(=O)c1ccco1
A0404,CCCCCCCC/C=CCCCCCCCC(=O)[O-]
A0405,Cl[Fe-](Cl)(Cl)Cl
A0406,C(CCCCCCC)S(=O)(=O)[O-]
A0407,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C)C(F)(F)C(F)(F)F
A0412,CCP(O)([O-])=O
A0413,CCCCC(CCC(=O)[O-])CC
A0414,Cl[Ga-](Cl)(Cl)Cl
A0415,Cl[In-](Cl)(Cl)Cl
A0416,COCCOS(=O)(=O)[O-]
A0417,CCCCCCCCOP([O-])=O
A0418,CCCCCCOP([O-])=O
A0419,CCOP([O-])=O
A0420,CCCCOP([O-])=O
A0421,CCCCCCCCCCCCc1ccc(cc1)S([O-])(=O)=O
A0422,CCOCCOS(=O)(=O)[O-]
A0423,[O-][Re](=O)(=O)=O
A0424,CCOCCOCCOS(=O)(=O)[O-]
A0425,CC(C)C[C@@H](N)C([O-])=O
A0426,FC(C(S(=O)(=O)[O-])(F)F)OC(C(F)(F)F)(F)F
A0427,FC(C(F)(F)F)OC(C(S(=O)(=O)[O-])(F)F)(F)F
A0428,FC(S(=NS(=O)(=O)C(C(F)(F)F)(F)F)(=O)[O-])(C(F)(F)F)F
A0429,CO[C@@H](c1ccccc1)C(=O)[O-]
A0433,FC(P(=O)(C(C(F)(F)F)(F)F)[O-])(C(F)(F)F)F
A0435,NC=1C=C(C=CC1)S(=O)(=O)[O-]
A0436,NC1=CC=C(C=C1)S(=O)(=O)[O-]
A0437,S(=O)(=O)(O)C1=CC=C(C(C(=O)[O-])=C1)O
A0439,[O-]C(=O)CSCC1=CC=CC=C1
A0447,OC(=O)CCC([O-])=O
A0453,C/C(/C(=O)[O-])=CC
A0455,NC(C(O)C)C(=O)[O-]
A0456,Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl
A0457,CP(O)([O-])=O
A0458,N#C[Au-]C#N
