id,smiles
C0350,CCCCCCCCn1c(=CC=Cc2n(CCCCCCCC)c3c([n+]2CCCC(=O)O)cc(c(c3)Cl)Cl)n(c2c1cc(Cl)c(c2)Cl)CCCC(=O)O
C0351,CCCCCCCCCCCC[N+](CC(=O)O)(CC)C
C0352,CCCCCC[N+](CC)(CC)CC
C0353,CC[N+](C(c1ccccc1)C)(CC)C
C0354,C=CCn1c[n+](c2c1cccc2)Cc1ccccc1
C0355,Cc1ccc(cc1)C(c1ccc(cc1)C)C[N+](C)(C)C
C0357,O=C(c1ccccc1)C[n+]1c2ccccc2n(c1C)NCc1ccccc1
C0358,CCCCCCCCCCCCC[N+](Cc1ccccc1)(C)C
C0359,Cc1ccc(cc1)C(=O)C[n+]1ccn(c1)C
C0360,COC(=O)C[n+]1c(N)n(c2c1cccc2)NCc1ccccc1
C0361,Fc1ccc(cc1)Cn1c[n+](c(c1C)C)Cc1ccc(cc1)F
C0362,CCCCCCCCCCC[n+]1ccccc1
C0363,CCCn1c[n+](c2c1cccc2)CCC#N
C0364,N#CC[n+]1ccccc1
C0365,CC(OC(=O)C[n+]1ccccc1)C
C0366,Cn1cc[n+](c1)CC(=O)c1ccc2c(c1)cccc2
C0367,FCC[n+]1cccc(c1)C(=O)OCC
C0368,OCCOCC[N+](C)(C)C
C0369,C=CC[n+]1cccc(c1)C=O
C0370,CC(=O)[C@H]([n+]1ccccc1C)C
C0371,CN1NN([NH+]=C1C)N
C0372,CC(=O)C[N+](Cc1ccccc1C)(C)C
C0373,CC(=O)Cn1c(C)[n+](c2c1cccc2)C
C0374,CCCC([N+](C)(C)C)C
C0375,OC(=O)CCCCC[n+]1ccn(c1)C
C0376,O=C(c1ccccc1)OC([N+](C)(C)C)c1ccccc1
C0377,O=C(c1ccccc1)C[n+]1ccn(c1C(=C)C)C
C0378,N#Cc1cc[n+](cc1)CC
C0379,C[N+](Cc1ccccc1)(CCCCOc1cccc2c1cccc2)C
C0380,CC(=O)C[n+]1cn(c2c1cccc2)Cc1ccccc1
C0381,[N+](CCC)(CCC)(C)CC
C0382,Cn1cc[n+](c1)CC(=O)c1ccc(c(c1)C)C
C0383,Cn1cc[n+](c1)C(C(=O)c1ccccc1)(C)C
C0384,CCn1c(=CC=Cc2n(CC)c3c([n+]2CC)c(Br)c(c(c3Br)Cl)Cl)n(c2c1c(Br)c(Cl)c(c2Br)Cl)CC
C0385,CC(c1cc(cc(c1O)C(C)(C)C)[N+](Cc1ccccc1)(C)C)(C)C
C0386,CCOC(=O)c1c[n+](ccc1C(c1ccccc1)c1ccccc1)Cc1ccccc1
C0387,CC[N+](CC#C)(CC)CC
C0388,Oc1cccc(c1)[N+](C)(C)C
C0389,C=CC[n+]1ccccc1CO
C0390,CCCCCCCCCCCC[n+]1c2ccccc2n(c1N)CCCc1ccccc1
C0391,C[n+]1cn(cn1)N
C0392,C=CC[N+](CCOC(=O)CCCCCCCCCCC)(CCOC(=O)CCCCCCCCCCC)C
C0393,CCCCCC[NH+]1C=CN(C1)CCCP(=O)(OCC)OCC
C0394,CCCC[N+](CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C)(C)C
C0395,C[n+]1ccc(cc1)Cc1ccccc1
